case_id,new_rank,current_rank,failed_pairwise_rank,current_top1,new_top1,top1_delta,current_top3,new_top3,top3_delta,current_top5,new_top5,top5_delta,rank_delta,rank_change,candidate_source_mondo_expansion,candidate_source_hpo_expansion,candidate_source_similar_case
test::LLLdataset/dataset/processed/test/DDD.csv::case_1,2,2,2,False,False,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_10,24,29,23,False,False,0,False,False,0,False,False,0,5,improved,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_100,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_101,40,51,999999,False,False,0,False,False,0,False,False,0,11,improved,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_102,12,11,12,False,False,0,False,False,0,False,False,0,-1,worsened,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_103,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_104,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_105,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_106,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_107,115,51,999999,False,False,0,False,False,0,False,False,0,-64,worsened,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_108,6,6,6,False,False,0,False,False,0,False,False,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_109,999999,51,999999,False,False,0,False,False,0,False,False,0,-999948,worsened,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_11,2,2,2,False,False,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_110,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_111,999999,51,999999,False,False,0,False,False,0,False,False,0,-999948,worsened,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_112,1,2,1,False,True,1,True,True,0,True,True,0,1,improved,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_113,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_114,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_115,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_116,11,11,11,False,False,0,False,False,0,False,False,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_117,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_118,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_119,14,15,13,False,False,0,False,False,0,False,False,0,1,improved,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_12,123,51,999999,False,False,0,False,False,0,False,False,0,-72,worsened,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_120,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,0,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_121,1,1,1,True,True,0,True,True,0,True,True,0,0,unchanged,1,1,1
test::LLLdataset/dataset/processed/test/DDD.csv::case_122,12,16,10,False,False,0,False,False,0,False,False,0,4,improved,1,1,1
